Cliente_ID,Nome,CPF,Data_Nascimento
139,Bella Vargas,65480291351,1990-07-06
140,Nicole Sampaio,95207483692,1997-02-21
141,Asafe Dias,72805361407,1943-08-13
142,Sr. Lucas da Mata,48679320510,1960-02-08
143,Sra. Maria Eduarda Moreira,15638749039,1974-05-27
144,Bruno Duarte,41603982515,1962-06-29
145,Ana Cecília Siqueira,49785312682,1964-07-22
146,Diego Pereira,56490831775,2005-06-21
147,Rael Freitas,70281945667,1981-10-23
148,Josué Camargo,57148629373,1984-11-01
149,Hadassa Pimenta,02743691840,1988-07-17
150,Liam Rios,47301689500,2008-07-01
151,Davi Miguel da Costa,51428963006,1948-11-22
152,Benício das Neves,70546239838,1982-04-12
153,Rael Martins,67983405120,1984-05-06
154,Davi Moreira,85264910324,1974-11-08
155,José Costa,24917653819,1998-03-14
156,Daniela Cavalcante,84257906383,1980-11-27
157,Oliver Pinto,95067842130,1984-12-10
158,Ana Sophia Sales,07452316835,1960-11-15
159,Sra. Manuella Guerra,02736514980,1961-11-27
160,Calebe Aragão,25197308621,1957-07-04
161,Nina Monteiro,46817290350,1974-07-17
162,Sr. Benicio da Paz,47083956200,1980-05-01
163,Dr. Luiz Otávio Aparecida,79480536110,1990-02-21
164,Lara Pinto,60324981589,1992-08-26
165,Gael Henrique Pereira,91203745850,1992-01-04
166,Sophie Carvalho,86079124378,1950-10-08
167,Letícia Melo,59234786173,1988-11-11
168,Julia Rezende,05879324656,1981-04-03
169,Brenda Correia,93048157204,1942-10-13
170,Dra. Ana Liz Santos,07531684217,2000-01-12
171,Manuela Nogueira,28349761040,1971-11-30
172,Gustavo Henrique Sales,54716280985,1993-02-10
173,Manuella Vargas,75924680185,2001-08-04
174,Hadassa Costa,24095761334,1991-06-29
175,Heloisa Porto,84910765220,1986-03-20
176,Eduarda Jesus,30192685406,1940-12-26
177,Igor Nascimento,79362548038,2002-06-02
178,Sra. Ana Carolina Albuquerque,02671935480,2004-05-15
179,Daniel Farias,41523970804,1959-03-15
180,Maria Luiza Lima,27451096858,1952-07-29
181,André da Luz,85139074648,1962-08-28
182,Maria Cecília Sales,63792548038,1958-06-07
183,Juan Freitas,30192765434,1987-08-11
184,Dra. Olivia Sá,93817652437,1968-12-06
185,Brenda Araújo,83954072114,1945-12-13
186,Gabrielly Silva,89346157291,1948-07-18
187,Ana Laura Novais,97143056839,1971-09-20
188,Manuella Sampaio,74032915814,1943-09-19
189,Otto Freitas,18073629496,1992-12-17
190,Vitor Gabriel Gonçalves,67930412822,1948-09-15
191,Heloísa da Cruz,82360591703,1976-10-31
192,Isaque Costela,75291046830,1982-06-24
193,Isabel Nogueira,19034782514,1968-01-04
194,Diego Ribeiro,30247159670,1956-10-03
195,Ana Julia Ferreira,83627015959,1978-06-17
196,Olívia da Costa,68573914246,1953-02-23
197,José Miguel Costela,34269051833,1967-01-25
198,Ana Cecília Barbosa,51762084317,1966-04-20
199,Dante Souza,38971240687,2004-05-29
200,Maria Alice das Neves,73891425619,1972-05-12
