Cartao_ID,Conta_ID,Numero_Cartao_Mascarado,Tipo_Cartao
54,234,**** **** **** 1023,Crédito
55,97,**** **** **** 1058,Múltiplo
56,123,**** **** **** 7926,Múltiplo
57,197,**** **** **** 3071,Débito
58,211,**** **** **** 5413,Débito
59,163,**** **** **** 4455,Múltiplo
60,243,**** **** **** 7593,Múltiplo
61,196,**** **** **** 8501,Crédito
62,78,**** **** **** 2413,Crédito
63,19,**** **** **** 1827,Débito
64,258,**** **** **** 5570,Múltiplo
65,170,**** **** **** 5372,Débito
66,226,**** **** **** 8043,Débito
67,270,**** **** **** 2369,Crédito
68,8,**** **** **** 1514,Múltiplo
69,74,**** **** **** 6703,Crédito
70,80,**** **** **** 9933,Débito
71,241,**** **** **** 8385,Crédito
72,174,**** **** **** 5981,Múltiplo
73,204,**** **** **** 7856,Múltiplo
74,42,**** **** **** 5224,Crédito
75,274,**** **** **** 3780,Crédito
76,163,**** **** **** 2524,Múltiplo
77,250,**** **** **** 6918,Múltiplo
78,19,**** **** **** 5399,Múltiplo
79,36,**** **** **** 5931,Débito
80,148,**** **** **** 0432,Débito
81,47,**** **** **** 2677,Crédito
82,51,**** **** **** 4056,Múltiplo
83,52,**** **** **** 2968,Crédito
84,86,**** **** **** 1062,Múltiplo
85,154,**** **** **** 1037,Débito
86,24,**** **** **** 2565,Crédito
87,29,**** **** **** 0214,Crédito
88,184,**** **** **** 8791,Crédito
89,221,**** **** **** 9219,Débito
90,126,**** **** **** 6321,Múltiplo
91,211,**** **** **** 7094,Múltiplo
92,93,**** **** **** 1483,Débito
93,90,**** **** **** 6293,Débito
94,196,**** **** **** 4444,Múltiplo
95,124,**** **** **** 9131,Crédito
96,299,**** **** **** 1486,Débito
97,119,**** **** **** 0707,Crédito
98,131,**** **** **** 7972,Crédito
99,131,**** **** **** 2939,Múltiplo
100,5,**** **** **** 2905,Crédito
101,148,**** **** **** 3741,Múltiplo
102,280,**** **** **** 7154,Débito
103,38,**** **** **** 4465,Crédito
104,177,**** **** **** 4287,Múltiplo
105,154,**** **** **** 4655,Múltiplo
106,218,**** **** **** 1737,Múltiplo
107,129,**** **** **** 3561,Crédito
108,155,**** **** **** 7431,Débito
109,197,**** **** **** 0830,Crédito
110,55,**** **** **** 2162,Débito
111,196,**** **** **** 9855,Múltiplo
112,184,**** **** **** 3235,Múltiplo
113,152,**** **** **** 0904,Múltiplo
114,152,**** **** **** 3045,Débito
115,203,**** **** **** 9147,Crédito
116,5,**** **** **** 2080,Múltiplo
117,26,**** **** **** 9724,Múltiplo
118,255,**** **** **** 2049,Crédito
119,118,**** **** **** 7949,Múltiplo
120,181,**** **** **** 6213,Débito
121,98,**** **** **** 9026,Múltiplo
122,129,**** **** **** 8991,Múltiplo
123,71,**** **** **** 6283,Múltiplo
124,50,**** **** **** 5408,Múltiplo
125,21,**** **** **** 9717,Crédito
126,226,**** **** **** 8803,Débito
127,297,**** **** **** 0370,Crédito
128,68,**** **** **** 8850,Débito
129,152,**** **** **** 1636,Crédito
130,213,**** **** **** 7986,Débito
131,103,**** **** **** 2168,Débito
132,277,**** **** **** 2698,Crédito
133,272,**** **** **** 2883,Múltiplo
134,140,**** **** **** 0815,Débito
135,132,**** **** **** 4245,Crédito
136,152,**** **** **** 3867,Múltiplo
137,174,**** **** **** 4392,Débito
138,240,**** **** **** 7215,Débito
139,73,**** **** **** 4052,Débito
140,204,**** **** **** 7988,Múltiplo
141,188,**** **** **** 8864,Débito
142,203,**** **** **** 7806,Débito
143,136,**** **** **** 6480,Múltiplo
144,64,**** **** **** 5811,Crédito
145,189,**** **** **** 8617,Múltiplo
146,135,**** **** **** 1933,Múltiplo
147,196,**** **** **** 1582,Múltiplo
148,191,**** **** **** 2838,Débito
149,120,**** **** **** 0994,Crédito
150,13,**** **** **** 2396,Múltiplo
151,288,**** **** **** 7557,Crédito
152,114,**** **** **** 9298,Múltiplo
153,33,**** **** **** 2575,Múltiplo
154,238,**** **** **** 4287,Múltiplo
155,155,**** **** **** 9309,Múltiplo
156,210,**** **** **** 9428,Débito
157,72,**** **** **** 8279,Débito
158,20,**** **** **** 5301,Crédito
159,253,**** **** **** 4988,Débito
160,50,**** **** **** 6553,Débito
161,276,**** **** **** 8437,Débito
162,199,**** **** **** 3927,Crédito
163,190,**** **** **** 2023,Múltiplo
164,277,**** **** **** 6927,Crédito
165,80,**** **** **** 6628,Crédito
166,51,**** **** **** 9084,Crédito
167,209,**** **** **** 8656,Crédito
168,17,**** **** **** 6597,Múltiplo
169,190,**** **** **** 4301,Débito
170,228,**** **** **** 1260,Crédito
171,121,**** **** **** 8723,Crédito
172,51,**** **** **** 2135,Múltiplo
173,189,**** **** **** 1277,Múltiplo
174,184,**** **** **** 9840,Débito
175,204,**** **** **** 8838,Crédito
176,98,**** **** **** 6934,Débito
177,233,**** **** **** 5439,Débito
178,109,**** **** **** 1840,Múltiplo
179,11,**** **** **** 3579,Débito
180,171,**** **** **** 5880,Débito
181,65,**** **** **** 6510,Múltiplo
182,106,**** **** **** 3734,Débito
183,284,**** **** **** 1113,Débito
184,111,**** **** **** 7283,Débito
185,169,**** **** **** 1870,Débito
186,2,**** **** **** 2848,Crédito
187,75,**** **** **** 6550,Débito
188,277,**** **** **** 6637,Crédito
189,90,**** **** **** 4895,Débito
190,14,**** **** **** 4716,Débito
191,8,**** **** **** 0617,Crédito
192,122,**** **** **** 7166,Múltiplo
193,166,**** **** **** 2538,Débito
194,90,**** **** **** 7622,Crédito
195,27,**** **** **** 8006,Débito
196,216,**** **** **** 3473,Múltiplo
197,59,**** **** **** 8724,Múltiplo
198,33,**** **** **** 8315,Crédito
199,230,**** **** **** 8256,Crédito
200,263,**** **** **** 6864,Múltiplo
201,56,**** **** **** 8949,Crédito
202,258,**** **** **** 5023,Débito
203,23,**** **** **** 4273,Múltiplo
204,267,**** **** **** 5700,Crédito
205,235,**** **** **** 4604,Múltiplo
206,16,**** **** **** 7644,Débito
207,246,**** **** **** 0313,Crédito
208,219,**** **** **** 0092,Múltiplo
209,56,**** **** **** 0057,Crédito
210,228,**** **** **** 6527,Débito
211,42,**** **** **** 9826,Crédito
212,76,**** **** **** 2094,Débito
213,65,**** **** **** 9451,Crédito
214,300,**** **** **** 7318,Múltiplo
215,167,**** **** **** 9406,Crédito
216,272,**** **** **** 8657,Crédito
217,233,**** **** **** 1388,Múltiplo
218,221,**** **** **** 1958,Débito
219,59,**** **** **** 7559,Múltiplo
220,283,**** **** **** 8360,Múltiplo
221,111,**** **** **** 9082,Crédito
222,232,**** **** **** 9212,Débito
223,212,**** **** **** 5933,Crédito
224,233,**** **** **** 7271,Crédito
225,213,**** **** **** 6131,Múltiplo
226,49,**** **** **** 8326,Crédito
227,219,**** **** **** 8132,Crédito
228,131,**** **** **** 4165,Crédito
229,79,**** **** **** 9389,Múltiplo
230,243,**** **** **** 5534,Débito
231,47,**** **** **** 7032,Débito
232,48,**** **** **** 0519,Crédito
233,50,**** **** **** 0692,Múltiplo
234,191,**** **** **** 6454,Débito
235,285,**** **** **** 1239,Débito
236,288,**** **** **** 7622,Múltiplo
237,169,**** **** **** 0466,Múltiplo
238,63,**** **** **** 6219,Crédito
239,182,**** **** **** 5784,Múltiplo
240,217,**** **** **** 2515,Múltiplo
241,27,**** **** **** 4749,Crédito
242,160,**** **** **** 9335,Crédito
243,54,**** **** **** 7226,Múltiplo
244,260,**** **** **** 1272,Débito
245,80,**** **** **** 9997,Múltiplo
246,247,**** **** **** 8602,Débito
247,56,**** **** **** 4720,Crédito
248,285,**** **** **** 9827,Crédito
249,59,**** **** **** 5214,Crédito
250,294,**** **** **** 6025,Débito
